"","project","major","minor","release","filename","filepath","shortpath","churn","la","ld","CC","LOC","num_pre","bfs","exp","num_bugs","num_post","priority","release_id"
"1","wicket",1,3,"1.3.0","HomePage.java","/home/kjbaron/Documents/NABATS/cloned_repos/wicket-1.3.0/archetypes/quickstart/src/main/resources/archetype-resources/src/main/java/HomePage.java","/src/main/java/HomePage.java",0,0,0,0,0,0,0,0,0,0,0,0
"2","wicket",1,3,"1.3.0","WicketApplication.java","/home/kjbaron/Documents/NABATS/cloned_repos/wicket-1.3.0/archetypes/quickstart/src/main/resources/archetype-resources/src/main/java/WicketApplication.java","/src/main/java/WicketApplication.java",0,0,0,0,0,0,0,0,0,0,0,0
"3","wicket",1,3,"1.3.0","DateConverter.java","/home/kjbaron/Documents/NABATS/cloned_repos/wicket-1.3.0/jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/datetime/DateConverter.java","/apache/wicket/datetime/DateConverter.java",0,0,0,0.0454545454545455,0.0546769091730682,0,0,0,0,0,0,0
"4","wicket",1,3,"1.3.0","PatternDateConverter.java","/home/kjbaron/Documents/NABATS/cloned_repos/wicket-1.3.0/jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/datetime/PatternDateConverter.java","/apache/wicket/datetime/PatternDateConverter.java",0,0,0,0.00909090909090909,0.0126525079078174,0,0,0,0,0,0,0
"5","wicket",1,3,"1.3.0","StyleDateConverter.java","/home/kjbaron/Documents/NABATS/cloned_repos/wicket-1.3.0/jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/datetime/StyleDateConverter.java","/apache/wicket/datetime/StyleDateConverter.java",0,0,0,0.0113636363636364,0.0144600090375056,0,0.00319148936170213,0.0103324348607367,0.111111111111111,1,3,0
"6","wicket",1,3,"1.3.0","DateLabel.java","/home/kjbaron/Documents/NABATS/cloned_repos/wicket-1.3.0/jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/datetime/markup/html/basic/DateLabel.java","/markup/html/basic/DateLabel.java",0,0,0,0.0431818181818182,0.044283777677361,0,0,0,0,0,0,0
"7","wicket",1,3,"1.3.0","DateTextField.java","/home/kjbaron/Documents/NABATS/cloned_repos/wicket-1.3.0/jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/datetime/markup/html/form/DateTextField.java","/markup/html/form/DateTextField.java",0,0,0,0.0272727272727273,0.0302756439222775,0,0,0,0,0,0,0
"8","wicket",1,3,"1.3.0","YuiLib.java","/home/kjbaron/Documents/NABATS/cloned_repos/wicket-1.3.0/jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/YuiLib.java","/wicket/extensions/yui/YuiLib.java",0,0,0,0.00454545454545455,0.0126525079078174,0,0,0,0,0,0,0
"9","wicket",1,3,"1.3.0","AbstractCalendar.java","/home/kjbaron/Documents/NABATS/cloned_repos/wicket-1.3.0/jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/calendar/AbstractCalendar.java","/extensions/yui/calendar/AbstractCalendar.java",0,0,0,0.0340909090909091,0.0573881608676005,0,0.0191489361702128,0.0103324348607367,0.111111111111111,1,2,0
"10","wicket",1,3,"1.3.0","DateField.java","/home/kjbaron/Documents/NABATS/cloned_repos/wicket-1.3.0/jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/calendar/DateField.java","/extensions/yui/calendar/DateField.java",0.0013869625520111,1,0,0.0272727272727273,0.0289200180750113,1,0,0,0,0,0,0
"11","wicket",1,3,"1.3.0","DatePicker.java","/home/kjbaron/Documents/NABATS/cloned_repos/wicket-1.3.0/jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/calendar/DatePicker.java","/extensions/yui/calendar/DatePicker.java",0.029126213592233,9,12,0.125,0.15860822413014,3,0.0457446808510638,0.0345911949685535,0.222222222222222,2,4,0
"12","wicket",1,3,"1.3.0","DateTimeField.java","/home/kjbaron/Documents/NABATS/cloned_repos/wicket-1.3.0/jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/calendar/DateTimeField.java","/extensions/yui/calendar/DateTimeField.java",0.0124826629680999,8,1,0.102272727272727,0.118391323994577,1,0,0,0,0,0,0
"13","wicket",1,3,"1.3.0","Initializer.java","/home/kjbaron/Documents/NABATS/cloned_repos/wicket-1.3.0/jdk-1.4/wicket-extensions/src/main/java/org/apache/wicket/extensions/Initializer.java","/apache/wicket/extensions/Initializer.java",0,0,0,0.00454545454545455,0.00632625395390872,0,0,0,0,0,0,0
"14","wicket",1,3,"1.3.0","AjaxEditableChoiceLabel.java","/home/kjbaron/Documents/NABATS/cloned_repos/wicket-1.3.0/jdk-1.4/wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/AjaxEditableChoiceLabel.java","/ajax/markup/html/AjaxEditableChoiceLabel.java",0.0305131761442441,11,11,0.0227272727272727,0.0338906461816539,1,0.0478723404255319,0.0103324348607367,0.111111111111111,1,3,0
"15","wicket",1,3,"1.3.0","AjaxEditableLabel.java","/home/kjbaron/Documents/NABATS/cloned_repos/wicket-1.3.0/jdk-1.4/wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/AjaxEditableLabel.java","/ajax/markup/html/AjaxEditableLabel.java",0.0388349514563107,15,13,0.0954545454545454,0.12110257568911,4,0.0680851063829787,0.0103324348607367,0.111111111111111,1,3,0
"16","wicket",1,3,"1.3.0","AjaxEditableMultiLineLabel.java","/home/kjbaron/Documents/NABATS/cloned_repos/wicket-1.3.0/jdk-1.4/wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/AjaxEditableMultiLineLabel.java","/ajax/markup/html/AjaxEditableMultiLineLabel.java",0,0,0,0.0340909090909091,0.0488025305015816,0,0.0319148936170213,0.0206648697214735,0.222222222222222,2,6,0
"17","wicket",1,3,"1.3.0","AjaxLazyLoadPanel.java","/home/kjbaron/Documents/NABATS/cloned_repos/wicket-1.3.0/jdk-1.4/wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/AjaxLazyLoadPanel.java","/ajax/markup/html/AjaxLazyLoadPanel.java",0,0,0,0.0136363636363636,0.0216900135562585,0,0,0,0,0,0,0
"18","wicket",1,3,"1.3.0","IndicatingAjaxButton.java","/home/kjbaron/Documents/NABATS/cloned_repos/wicket-1.3.0/jdk-1.4/wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/IndicatingAjaxButton.java","/ajax/markup/html/IndicatingAjaxButton.java",0,0,0,0.00454545454545455,0.00858563036601898,0,0,0,0,0,0,0
"19","wicket",1,3,"1.3.0","IndicatingAjaxFallbackLink.java","/home/kjbaron/Documents/NABATS/cloned_repos/wicket-1.3.0/jdk-1.4/wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/IndicatingAjaxFallbackLink.java","/ajax/markup/html/IndicatingAjaxFallbackLink.java",0,0,0,0.00681818181818182,0.0103931314957072,0,0,0,0,0,0,0
"20","wicket",1,3,"1.3.0","IndicatingAjaxLink.java","/home/kjbaron/Documents/NABATS/cloned_repos/wicket-1.3.0/jdk-1.4/wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/IndicatingAjaxLink.java","/ajax/markup/html/IndicatingAjaxLink.java",0,0,0,0.00681818181818182,0.00948938093086308,0,0,0,0,0,0,0
